params.sigma,params.delta,params.rho,metrics.RMSE,metrics.Mean_rules,metrics.time
0,1300,1,0.02207543210725,3.9804400978,4.2469767332077
0,1200,1,0.02210441500865,3.92665036675,4.28557789325714
0,1100,1,0.02220994077625,3.761206193965,4.21550381183624
0,1000,1,0.02223916817775,3.60717196414,4.16752636432648
0,1300,10,0.0222604770593,3.9804400978,4.70259642601013
0,1200,10,0.0222671483248,3.92665036675,4.73145139217377
0,600,1,0.0223106242129,2.91605541972,3.99578928947449
0,900,1,0.02237457013655,3.416462917685,4.15118980407715
0,1100,10,0.0224420438838,3.761206193965,4.74980223178864
0,1000,10,0.0224494930305,3.60717196414,4.63959038257599
0,800,1,0.0224633786009,3.250611246945,4.03834021091461
0,700,1,0.02247352252475,3.105949470255,4.08233046531677
0,1300,0.1,0.02248824215425,3.9804400978,4.48650240898132
0.05,1000,1,0.022491386446,9.60554197229,7.99166572093964
0,1200,0.1,0.0225328051109,3.92665036675,4.52117025852203
0.05,900,1,0.02254640317095,8.99388753056,7.60513019561768
0,600,10,0.0226049413968,2.91605541972,4.3234760761261
0,900,10,0.0226454230549,3.416462917685,4.5652312040329
0,800,10,0.02267373180215,3.250611246945,4.42661535739899
0,1100,0.1,0.022674370656,3.761206193965,4.51220047473908
0,700,10,0.0226987976231,3.105949470255,4.51989305019379
0,900,0.1,0.02273373813195,3.416462917685,4.52101373672485
0.1,900,1,0.0227537307552,10.1544417278,8.62859225273132
0,1000,0.1,0.02278339840325,3.60717196414,4.50443577766418
0.05,800,1,0.0227904908176,8.29869600652,7.16719710826874
0,800,0.1,0.0227926554428,3.250611246945,4.45010578632355
0,500,0.1,0.0229047013845,2.50285248574,4.47882318496704
0,500,1,0.0229081637779,2.50285248574,4.15687942504883
0.05,500,1,0.0229501541825,5.97555012225,6.14914500713348
0,500,10,0.0229543498551,2.50285248574,4.47590208053589
0.05,1300,1,0.02296140066395,11.0399348003,8.646364569664
0,700,0.1,0.02297933885475,3.105949470255,4.50586879253387
0.05,1200,1,0.02299357386065,10.8528932355,8.60220539569855
0.1,1000,1,0.02300013231875,11.2379788101,9.05080616474152
0,600,0.1,0.0230200795831,2.91605541972,4.34327030181885
0.05,1100,1,0.02311438618495,10.2326813366,8.35996234416962
0,400,0.1,0.0231362571243,2.161369193155,4.65795826911926
0.05,400,1,0.0231489409266,5.11858190709,5.92098724842072
0,400,1,0.0231673218763,2.161369193155,4.28285729885101
0.2,200,1,0.02316838812495,4.301140994295,6.35781526565552
0.05,300,1,0.0231903820185,4.08272208639,5.61810517311096
0.2,900,1,0.02319460099165,11.73431132845,9.75581216812134
0.2,200,0.1,0.02319909486565,4.301140994295,6.325718998909
0,400,10,0.02320567223935,2.161369193155,4.53044414520264
0.1,1300,1,0.0232242598886,13.25183374085,10.1390644311905
0.2,400,10,0.02325816311435,6.86715566422,7.66666328907013
0.1,1100,1,0.0232654701134,12.06030969845,9.60414910316467
0.2,400,1,0.0232831241654,6.86715566422,7.33189785480499
0.1,400,1,0.023286441889,5.95517522412,6.35422277450562
0.1,300,1,0.02328841290025,4.62184189079,6.20630466938019
0.1,200,1,0.0233078284267,3.653219233905,5.78188705444336
0.1,1200,1,0.02331014657745,13.0089649552,10.0939338207245
0.05,200,1,0.02333384737145,3.06968215159,5.35752689838409
0,300,1,0.0233421937948,1.789731051345,4.62292742729187
0.2,300,1,0.02337654525845,5.5912795436,6.79001033306122
0.2,100,1,0.02337862914705,3.283618581905,6.23298919200897
0.2,50,1,0.0233862316407,2.8239608802,6.52484464645386
0.05,400,10,0.0233899345802,5.11858190709,6.27207612991333
0.1,500,1,0.0233936753204,6.869600651995,6.78261709213257
0.05,300,10,0.02341201155455,4.08272208639,6.01871311664581
0,300,10,0.02341316480075,1.789731051345,4.73643147945404
0.1,800,1,0.02341392033895,9.442135289325,8.2865264415741
0,300,0.1,0.0234192257857,1.789731051345,4.76060593128204
0.2,100,0.1,0.0234230023213,3.283618581905,6.02130591869354
0.1,600,10,0.02345729275535,7.78973105134,7.8206330537796
0.2,700,10,0.0234581543036,10.1915240424,9.12856733798981
0.05,1000,10,0.0234867647794,9.60554197229,8.653639793396
0.1,600,1,0.02350331653585,7.78973105134,7.30992019176483
0,20,1,0.0235161119293,1.04400977995,4.67468166351318
0.05,900,0.1,0.02351679329745,8.99388753056,7.43184614181519
0.2,800,10,0.0235178114473,11.08435207825,9.87088596820831
0.05,1100,10,0.0235291577032,10.2326813366,9.06308579444885
0.1,300,0.1,0.02356409446785,4.62184189079,6.17846608161926
0,5,1,0.0235680718482,1.00814995925,4.59214878082275
0.05,200,10,0.02356936430315,3.06968215159,5.76055812835693
0,50,1,0.0235709689786,1.11654441728,4.7607696056366
0.05,1200,10,0.02359532496875,10.8528932355,9.44536948204041
0.1,500,10,0.02359604186225,6.869600651995,7.26836407184601
0.1,200,0.1,0.0235962684796,3.653219233905,5.73768544197083
0.1,100,1,0.02360387522755,2.585574572125,5.58487772941589
0.05,100,1,0.02360605453975,2.218011409945,5.2805483341217
0.05,900,10,0.023607589589,8.99388753056,8.1802099943161
0.1,900,10,0.0236126514469,10.1544417278,9.19359719753265
0.2,800,1,0.02361508596755,11.08435207825,9.3114960193634
0.05,800,0.1,0.0236256164264,8.29869600652,7.12693440914154
0.2,900,10,0.02363811106105,11.73431132845,10.3086490631104
0.05,200,0.1,0.02364903919945,3.06968215159,5.61136853694916
0.05,1300,10,0.0236585793932,11.0399348003,9.51710402965546
0.1,50,1,0.023663516198,2.14914425428,5.75651216506958
0.05,500,10,0.023664862834,5.97555012225,6.6968492269516
0,200,1,0.023670373769,1.4771801141,4.63795435428619
0.1,300,10,0.023673931864,4.62184189079,6.60338342189789
0.1,1100,10,0.023677121069,12.06030969845,10.0828202962875
0.05,800,10,0.0236920261946,8.29869600652,7.89795434474945
0,100,10,0.0237171969785,1.23308883456,4.81255257129669
0.05,600,10,0.0237183655905,7.00855745721,7.1534994840622
0.05,1200,0.1,0.02371909216895,10.8528932355,8.56501162052155
0.05,100,0.1,0.02373182539505,2.218011409945,5.40462601184845
0,100,1,0.02373759752555,1.23308883456,4.77566480636597
0.05,1300,0.1,0.0237463462365,11.0399348003,8.58926022052765
0.1,400,10,0.02374687168025,5.95517522412,6.79690873622894
0.1,1300,10,0.0237474055923,13.25183374085,10.7059179544449
0.1,900,0.1,0.0237488034409,10.1544417278,8.50770032405853
0.2,300,10,0.0237504976952,5.5912795436,7.24205875396729
0.2,500,10,0.02375565160965,7.877343113285,8.26428151130676
0,200,10,0.02375665571725,1.4771801141,4.80445802211762
0,100,0.1,0.0237574236339,1.23308883456,4.81878960132599
0,200,0.1,0.023759425901,1.4771801141,4.78869044780731
0.2,700,1,0.023762755208,10.1915240424,8.69375658035278
0.05,1100,0.1,0.02376341407955,10.2326813366,8.13274371623993
0.1,1200,10,0.02376809802185,13.0089649552,10.6228264570236
0.05,700,10,0.0237948612563,7.5065199674,7.40841734409332
0.2,1000,1,0.02379591410365,13.0183374083,10.2207704782486
0.1,800,10,0.02380416161435,9.442135289325,8.74159002304077
0.05,50,1,0.0238280246135,1.75550122249,5.36170363426209
0.1,1000,10,0.02383096954635,11.2379788101,9.71375417709351
