,Nd(k-1),Alpha(k-1),Fm(k-1),Te(k-1),Tl(k-1),N(k-1),Tgas(k-1),COL(k-1),CO2(k-1),COH(k-1),NOx(k-1),P1mean(k-1),P1max(k-1),P1offset(k-1),P2mean(k-1),P2max(k-1),P2offset(k-1),Nd(k-2),Alpha(k-2),Fm(k-2),Te(k-2),Tl(k-2),N(k-2),Tgas(k-2),COL(k-2),CO2(k-2),COH(k-2),NOx(k-2),P1mean(k-2),P1max(k-2),P1offset(k-2),P2mean(k-2),P2max(k-2),P2offset(k-2),Nd(k-3),Alpha(k-3),Fm(k-3),Te(k-3),Tl(k-3),N(k-3),Tgas(k-3),COL(k-3),CO2(k-3),COH(k-3),NOx(k-3),P1mean(k-3),P1max(k-3),P1offset(k-3),P2mean(k-3),P2max(k-3),P2offset(k-3),Nd(k-4),Alpha(k-4),Fm(k-4),Te(k-4),Tl(k-4),N(k-4),Tgas(k-4),COL(k-4),CO2(k-4),COH(k-4),NOx(k-4),P1mean(k-4),P1max(k-4),P1offset(k-4),P2mean(k-4),P2max(k-4),P2offset(k-4),Nd(k-5),Alpha(k-5),Fm(k-5),Te(k-5),Tl(k-5),N(k-5),Tgas(k-5),COL(k-5),CO2(k-5),COH(k-5),NOx(k-5),P1mean(k-5),P1max(k-5),P1offset(k-5),P2mean(k-5),P2max(k-5),P2offset(k-5),Nd(k-6),Alpha(k-6),Fm(k-6),Te(k-6),Tl(k-6),N(k-6),Tgas(k-6),COL(k-6),CO2(k-6),COH(k-6),NOx(k-6),P1mean(k-6),P1max(k-6),P1offset(k-6),P2mean(k-6),P2max(k-6),P2offset(k-6),Nd(k-7),Alpha(k-7),Fm(k-7),Te(k-7),Tl(k-7),N(k-7),Tgas(k-7),COL(k-7),CO2(k-7),COH(k-7),NOx(k-7),P1mean(k-7),P1max(k-7),P1offset(k-7),P2mean(k-7),P2max(k-7),P2offset(k-7),Nd(k-8),Alpha(k-8),Fm(k-8),Te(k-8),Tl(k-8),N(k-8),Tgas(k-8),COL(k-8),CO2(k-8),COH(k-8),NOx(k-8),P1mean(k-8),P1max(k-8),P1offset(k-8),P2mean(k-8),P2max(k-8),P2offset(k-8),Nd(k-9),Alpha(k-9),Fm(k-9),Te(k-9),Tl(k-9),N(k-9),Tgas(k-9),COL(k-9),CO2(k-9),COH(k-9),NOx(k-9),P1mean(k-9),P1max(k-9),P1offset(k-9),P2mean(k-9),P2max(k-9),P2offset(k-9),Nd(k-10),Alpha(k-10),Fm(k-10),Te(k-10),Tl(k-10),N(k-10),Tgas(k-10),COL(k-10),CO2(k-10),COH(k-10),NOx(k-10),P1mean(k-10),P1max(k-10),P1offset(k-10),P2mean(k-10),P2max(k-10),P2offset(k-10),"NOx(k)
"
0,1570.0,30.8,2.98,110.8,100.0,1587.0,369.5,33.95,50120.0,81.76,183.9,8.1276,76.345,-6.8944,7.9711,74.181,-5.8806,1431.0,22.2,5.0,101.4,100.0,1427.0,369.8,34.65,62070.0,81.41,210.0,6.9491,62.026,-6.478,6.6218,62.144,-5.5172,1997.0,26.7,5.09,99.7,100.0,1993.0,368.7,34.32,85260.0,72.3,312.4,7.0823,66.746,-6.7246,6.8033,66.653,-5.6695,2025.0,37.7,5.09,112.9,100.0,2036.0,361.6,34.19,54990.0,88.6,210.4,7.4851,68.301,-6.0353,7.4348,69.065,-5.461,1699.0,29.7,3.54,110.4,100.0,1709.0,357.6,34.22,59000.0,76.32,222.6,7.3263,64.883,-6.6575,6.9567,64.857,-5.5734,1881.0,20.9,4.96,93.5,100.0,1868.0,360.7,34.01,58770.0,84.91,212.3,6.9553,71.78,-5.8044,6.8104,71.764,-5.0751,2313.0,35.6,6.71,109.1,100.0,2320.0,360.7,34.01,59300.0,76.22,212.6,9.3291,89.074,-5.8685,8.8983,89.159,-4.8694,1862.0,45.2,3.35,119.5,100.0,1883.0,354.1,34.1,61360.0,84.07,221.5,8.7767,78.941,-6.2033,8.5581,78.284,-5.3618,1745.0,17.6,4.84,85.6,100.0,1726.0,354.6,34.17,61530.0,77.94,224.0,6.4753,66.298,-6.1034,6.3143,65.448,-5.3707,1987.0,28.4,5.05,101.7,100.0,1987.0,354.9,34.04,61150.0,80.49,221.1,7.8048,76.679,-6.0742,7.5855,76.549,-5.1733,279.0
1,2024.0,41.8,4.15,114.6,99.0,2038.0,371.9,34.12,71390.0,73.71,279.0,9.7081,90.936,-5.6443,9.5299,90.926,-4.9787,1570.0,30.8,2.98,110.8,100.0,1587.0,369.5,33.95,50120.0,81.76,183.9,8.1276,76.345,-6.8944,7.9711,74.181,-5.8806,1431.0,22.2,5.0,101.4,100.0,1427.0,369.8,34.65,62070.0,81.41,210.0,6.9491,62.026,-6.478,6.6218,62.144,-5.5172,1997.0,26.7,5.09,99.7,100.0,1993.0,368.7,34.32,85260.0,72.3,312.4,7.0823,66.746,-6.7246,6.8033,66.653,-5.6695,2025.0,37.7,5.09,112.9,100.0,2036.0,361.6,34.19,54990.0,88.6,210.4,7.4851,68.301,-6.0353,7.4348,69.065,-5.461,1699.0,29.7,3.54,110.4,100.0,1709.0,357.6,34.22,59000.0,76.32,222.6,7.3263,64.883,-6.6575,6.9567,64.857,-5.5734,1881.0,20.9,4.96,93.5,100.0,1868.0,360.7,34.01,58770.0,84.91,212.3,6.9553,71.78,-5.8044,6.8104,71.764,-5.0751,2313.0,35.6,6.71,109.1,100.0,2320.0,360.7,34.01,59300.0,76.22,212.6,9.3291,89.074,-5.8685,8.8983,89.159,-4.8694,1862.0,45.2,3.35,119.5,100.0,1883.0,354.1,34.1,61360.0,84.07,221.5,8.7767,78.941,-6.2033,8.5581,78.284,-5.3618,1745.0,17.6,4.84,85.6,100.0,1726.0,354.6,34.17,61530.0,77.94,224.0,6.4753,66.298,-6.1034,6.3143,65.448,-5.3707,305.9
2,2133.0,29.3,6.07,99.9,100.0,2130.0,372.8,34.9,82900.0,65.62,305.9,7.675,74.984,-6.3046,7.4165,75.226,-5.2246,2024.0,41.8,4.15,114.6,99.0,2038.0,371.9,34.12,71390.0,73.71,279.0,9.7081,90.936,-5.6443,9.5299,90.926,-4.9787,1570.0,30.8,2.98,110.8,100.0,1587.0,369.5,33.95,50120.0,81.76,183.9,8.1276,76.345,-6.8944,7.9711,74.181,-5.8806,1431.0,22.2,5.0,101.4,100.0,1427.0,369.8,34.65,62070.0,81.41,210.0,6.9491,62.026,-6.478,6.6218,62.144,-5.5172,1997.0,26.7,5.09,99.7,100.0,1993.0,368.7,34.32,85260.0,72.3,312.4,7.0823,66.746,-6.7246,6.8033,66.653,-5.6695,2025.0,37.7,5.09,112.9,100.0,2036.0,361.6,34.19,54990.0,88.6,210.4,7.4851,68.301,-6.0353,7.4348,69.065,-5.461,1699.0,29.7,3.54,110.4,100.0,1709.0,357.6,34.22,59000.0,76.32,222.6,7.3263,64.883,-6.6575,6.9567,64.857,-5.5734,1881.0,20.9,4.96,93.5,100.0,1868.0,360.7,34.01,58770.0,84.91,212.3,6.9553,71.78,-5.8044,6.8104,71.764,-5.0751,2313.0,35.6,6.71,109.1,100.0,2320.0,360.7,34.01,59300.0,76.22,212.6,9.3291,89.074,-5.8685,8.8983,89.159,-4.8694,1862.0,45.2,3.35,119.5,100.0,1883.0,354.1,34.1,61360.0,84.07,221.5,8.7767,78.941,-6.2033,8.5581,78.284,-5.3618,238.1
3,2346.0,23.8,5.18,90.2,100.0,2336.0,372.3,34.92,63080.0,88.39,238.1,8.8244,91.304,-5.3864,8.4706,90.717,-4.6326,2133.0,29.3,6.07,99.9,100.0,2130.0,372.8,34.9,82900.0,65.62,305.9,7.675,74.984,-6.3046,7.4165,75.226,-5.2246,2024.0,41.8,4.15,114.6,99.0,2038.0,371.9,34.12,71390.0,73.71,279.0,9.7081,90.936,-5.6443,9.5299,90.926,-4.9787,1570.0,30.8,2.98,110.8,100.0,1587.0,369.5,33.95,50120.0,81.76,183.9,8.1276,76.345,-6.8944,7.9711,74.181,-5.8806,1431.0,22.2,5.0,101.4,100.0,1427.0,369.8,34.65,62070.0,81.41,210.0,6.9491,62.026,-6.478,6.6218,62.144,-5.5172,1997.0,26.7,5.09,99.7,100.0,1993.0,368.7,34.32,85260.0,72.3,312.4,7.0823,66.746,-6.7246,6.8033,66.653,-5.6695,2025.0,37.7,5.09,112.9,100.0,2036.0,361.6,34.19,54990.0,88.6,210.4,7.4851,68.301,-6.0353,7.4348,69.065,-5.461,1699.0,29.7,3.54,110.4,100.0,1709.0,357.6,34.22,59000.0,76.32,222.6,7.3263,64.883,-6.6575,6.9567,64.857,-5.5734,1881.0,20.9,4.96,93.5,100.0,1868.0,360.7,34.01,58770.0,84.91,212.3,6.9553,71.78,-5.8044,6.8104,71.764,-5.0751,2313.0,35.6,6.71,109.1,100.0,2320.0,360.7,34.01,59300.0,76.22,212.6,9.3291,89.074,-5.8685,8.8983,89.159,-4.8694,239.0
4,2031.0,30.6,5.83,100.7,100.0,2031.0,369.4,34.45,63500.0,82.18,239.0,7.7427,74.005,-6.1119,7.4432,74.015,-5.1322,2346.0,23.8,5.18,90.2,100.0,2336.0,372.3,34.92,63080.0,88.39,238.1,8.8244,91.304,-5.3864,8.4706,90.717,-4.6326,2133.0,29.3,6.07,99.9,100.0,2130.0,372.8,34.9,82900.0,65.62,305.9,7.675,74.984,-6.3046,7.4165,75.226,-5.2246,2024.0,41.8,4.15,114.6,99.0,2038.0,371.9,34.12,71390.0,73.71,279.0,9.7081,90.936,-5.6443,9.5299,90.926,-4.9787,1570.0,30.8,2.98,110.8,100.0,1587.0,369.5,33.95,50120.0,81.76,183.9,8.1276,76.345,-6.8944,7.9711,74.181,-5.8806,1431.0,22.2,5.0,101.4,100.0,1427.0,369.8,34.65,62070.0,81.41,210.0,6.9491,62.026,-6.478,6.6218,62.144,-5.5172,1997.0,26.7,5.09,99.7,100.0,1993.0,368.7,34.32,85260.0,72.3,312.4,7.0823,66.746,-6.7246,6.8033,66.653,-5.6695,2025.0,37.7,5.09,112.9,100.0,2036.0,361.6,34.19,54990.0,88.6,210.4,7.4851,68.301,-6.0353,7.4348,69.065,-5.461,1699.0,29.7,3.54,110.4,100.0,1709.0,357.6,34.22,59000.0,76.32,222.6,7.3263,64.883,-6.6575,6.9567,64.857,-5.5734,1881.0,20.9,4.96,93.5,100.0,1868.0,360.7,34.01,58770.0,84.91,212.3,6.9553,71.78,-5.8044,6.8104,71.764,-5.0751,297.6
5,2063.0,31.3,4.88,102.3,100.0,2065.0,368.1,34.67,80740.0,78.37,297.6,7.7041,74.422,-5.6239,7.5752,75.055,-5.0332,2031.0,30.6,5.83,100.7,100.0,2031.0,369.4,34.45,63500.0,82.18,239.0,7.7427,74.005,-6.1119,7.4432,74.015,-5.1322,2346.0,23.8,5.18,90.2,100.0,2336.0,372.3,34.92,63080.0,88.39,238.1,8.8244,91.304,-5.3864,8.4706,90.717,-4.6326,2133.0,29.3,6.07,99.9,100.0,2130.0,372.8,34.9,82900.0,65.62,305.9,7.675,74.984,-6.3046,7.4165,75.226,-5.2246,2024.0,41.8,4.15,114.6,99.0,2038.0,371.9,34.12,71390.0,73.71,279.0,9.7081,90.936,-5.6443,9.5299,90.926,-4.9787,1570.0,30.8,2.98,110.8,100.0,1587.0,369.5,33.95,50120.0,81.76,183.9,8.1276,76.345,-6.8944,7.9711,74.181,-5.8806,1431.0,22.2,5.0,101.4,100.0,1427.0,369.8,34.65,62070.0,81.41,210.0,6.9491,62.026,-6.478,6.6218,62.144,-5.5172,1997.0,26.7,5.09,99.7,100.0,1993.0,368.7,34.32,85260.0,72.3,312.4,7.0823,66.746,-6.7246,6.8033,66.653,-5.6695,2025.0,37.7,5.09,112.9,100.0,2036.0,361.6,34.19,54990.0,88.6,210.4,7.4851,68.301,-6.0353,7.4348,69.065,-5.461,1699.0,29.7,3.54,110.4,100.0,1709.0,357.6,34.22,59000.0,76.32,222.6,7.3263,64.883,-6.6575,6.9567,64.857,-5.5734,261.1
6,1376.0,12.5,4.99,81.5,100.0,1345.0,367.0,34.7,72770.0,78.17,261.1,6.1791,63.093,-6.4008,6.0357,63.067,-5.4958,2063.0,31.3,4.88,102.3,100.0,2065.0,368.1,34.67,80740.0,78.37,297.6,7.7041,74.422,-5.6239,7.5752,75.055,-5.0332,2031.0,30.6,5.83,100.7,100.0,2031.0,369.4,34.45,63500.0,82.18,239.0,7.7427,74.005,-6.1119,7.4432,74.015,-5.1322,2346.0,23.8,5.18,90.2,100.0,2336.0,372.3,34.92,63080.0,88.39,238.1,8.8244,91.304,-5.3864,8.4706,90.717,-4.6326,2133.0,29.3,6.07,99.9,100.0,2130.0,372.8,34.9,82900.0,65.62,305.9,7.675,74.984,-6.3046,7.4165,75.226,-5.2246,2024.0,41.8,4.15,114.6,99.0,2038.0,371.9,34.12,71390.0,73.71,279.0,9.7081,90.936,-5.6443,9.5299,90.926,-4.9787,1570.0,30.8,2.98,110.8,100.0,1587.0,369.5,33.95,50120.0,81.76,183.9,8.1276,76.345,-6.8944,7.9711,74.181,-5.8806,1431.0,22.2,5.0,101.4,100.0,1427.0,369.8,34.65,62070.0,81.41,210.0,6.9491,62.026,-6.478,6.6218,62.144,-5.5172,1997.0,26.7,5.09,99.7,100.0,1993.0,368.7,34.32,85260.0,72.3,312.4,7.0823,66.746,-6.7246,6.8033,66.653,-5.6695,2025.0,37.7,5.09,112.9,100.0,2036.0,361.6,34.19,54990.0,88.6,210.4,7.4851,68.301,-6.0353,7.4348,69.065,-5.461,244.1
7,1226.0,36.3,2.58,121.6,100.0,1255.0,363.2,34.76,65140.0,86.54,244.1,7.9243,79.739,-6.7518,7.4678,78.289,-5.7541,1376.0,12.5,4.99,81.5,100.0,1345.0,367.0,34.7,72770.0,78.17,261.1,6.1791,63.093,-6.4008,6.0357,63.067,-5.4958,2063.0,31.3,4.88,102.3,100.0,2065.0,368.1,34.67,80740.0,78.37,297.6,7.7041,74.422,-5.6239,7.5752,75.055,-5.0332,2031.0,30.6,5.83,100.7,100.0,2031.0,369.4,34.45,63500.0,82.18,239.0,7.7427,74.005,-6.1119,7.4432,74.015,-5.1322,2346.0,23.8,5.18,90.2,100.0,2336.0,372.3,34.92,63080.0,88.39,238.1,8.8244,91.304,-5.3864,8.4706,90.717,-4.6326,2133.0,29.3,6.07,99.9,100.0,2130.0,372.8,34.9,82900.0,65.62,305.9,7.675,74.984,-6.3046,7.4165,75.226,-5.2246,2024.0,41.8,4.15,114.6,99.0,2038.0,371.9,34.12,71390.0,73.71,279.0,9.7081,90.936,-5.6443,9.5299,90.926,-4.9787,1570.0,30.8,2.98,110.8,100.0,1587.0,369.5,33.95,50120.0,81.76,183.9,8.1276,76.345,-6.8944,7.9711,74.181,-5.8806,1431.0,22.2,5.0,101.4,100.0,1427.0,369.8,34.65,62070.0,81.41,210.0,6.9491,62.026,-6.478,6.6218,62.144,-5.5172,1997.0,26.7,5.09,99.7,100.0,1993.0,368.7,34.32,85260.0,72.3,312.4,7.0823,66.746,-6.7246,6.8033,66.653,-5.6695,201.7
8,1784.0,27.9,4.95,104.1,100.0,1793.0,366.1,34.66,56480.0,86.88,201.7,7.5956,71.437,-6.2682,7.3641,71.061,-5.5322,1226.0,36.3,2.58,121.6,100.0,1255.0,363.2,34.76,65140.0,86.54,244.1,7.9243,79.739,-6.7518,7.4678,78.289,-5.7541,1376.0,12.5,4.99,81.5,100.0,1345.0,367.0,34.7,72770.0,78.17,261.1,6.1791,63.093,-6.4008,6.0357,63.067,-5.4958,2063.0,31.3,4.88,102.3,100.0,2065.0,368.1,34.67,80740.0,78.37,297.6,7.7041,74.422,-5.6239,7.5752,75.055,-5.0332,2031.0,30.6,5.83,100.7,100.0,2031.0,369.4,34.45,63500.0,82.18,239.0,7.7427,74.005,-6.1119,7.4432,74.015,-5.1322,2346.0,23.8,5.18,90.2,100.0,2336.0,372.3,34.92,63080.0,88.39,238.1,8.8244,91.304,-5.3864,8.4706,90.717,-4.6326,2133.0,29.3,6.07,99.9,100.0,2130.0,372.8,34.9,82900.0,65.62,305.9,7.675,74.984,-6.3046,7.4165,75.226,-5.2246,2024.0,41.8,4.15,114.6,99.0,2038.0,371.9,34.12,71390.0,73.71,279.0,9.7081,90.936,-5.6443,9.5299,90.926,-4.9787,1570.0,30.8,2.98,110.8,100.0,1587.0,369.5,33.95,50120.0,81.76,183.9,8.1276,76.345,-6.8944,7.9711,74.181,-5.8806,1431.0,22.2,5.0,101.4,100.0,1427.0,369.8,34.65,62070.0,81.41,210.0,6.9491,62.026,-6.478,6.6218,62.144,-5.5172,238.3
9,2108.0,42.1,5.01,117.4,100.0,2124.0,370.4,34.3,59740.0,77.29,238.3,9.4842,85.578,-6.1247,9.0734,86.335,-5.1334,1784.0,27.9,4.95,104.1,100.0,1793.0,366.1,34.66,56480.0,86.88,201.7,7.5956,71.437,-6.2682,7.3641,71.061,-5.5322,1226.0,36.3,2.58,121.6,100.0,1255.0,363.2,34.76,65140.0,86.54,244.1,7.9243,79.739,-6.7518,7.4678,78.289,-5.7541,1376.0,12.5,4.99,81.5,100.0,1345.0,367.0,34.7,72770.0,78.17,261.1,6.1791,63.093,-6.4008,6.0357,63.067,-5.4958,2063.0,31.3,4.88,102.3,100.0,2065.0,368.1,34.67,80740.0,78.37,297.6,7.7041,74.422,-5.6239,7.5752,75.055,-5.0332,2031.0,30.6,5.83,100.7,100.0,2031.0,369.4,34.45,63500.0,82.18,239.0,7.7427,74.005,-6.1119,7.4432,74.015,-5.1322,2346.0,23.8,5.18,90.2,100.0,2336.0,372.3,34.92,63080.0,88.39,238.1,8.8244,91.304,-5.3864,8.4706,90.717,-4.6326,2133.0,29.3,6.07,99.9,100.0,2130.0,372.8,34.9,82900.0,65.62,305.9,7.675,74.984,-6.3046,7.4165,75.226,-5.2246,2024.0,41.8,4.15,114.6,99.0,2038.0,371.9,34.12,71390.0,73.71,279.0,9.7081,90.936,-5.6443,9.5299,90.926,-4.9787,1570.0,30.8,2.98,110.8,100.0,1587.0,369.5,33.95,50120.0,81.76,183.9,8.1276,76.345,-6.8944,7.9711,74.181,-5.8806,228.0
