nobs,month,year,prec
1,1,1917,12.9499998092651
2,2,1917,4.05999994277954
3,3,1917,97.05999755859379
4,4,1917,12.6000003814697
5,5,1917,32.7099990844727
6,6,1917,108.12000274658199
7,7,1917,81.9700012207031
8,8,1917,62.7599983215332
9,9,1917,76.8499984741211
10,10,1917,6.4899997711181605
11,11,1917,8.159999847412111
12,12,1917,23.0200004577637
13,1,1918,3.85999989509583
14,2,1918,102.62999725341801
15,3,1918,47.119998931884794
16,4,1918,49.029998779296896
17,5,1918,34.1599998474121
18,6,1918,90.7699966430664
19,7,1918,40.3699989318848
20,8,1918,31.219999313354503
21,9,1918,41.290000915527294
22,10,1918,10.4499998092651
23,11,1918,3.69000005722046
24,12,1918,1.48000001907349
25,1,1919,1.73000001907349
26,2,1919,6.21000003814697
27,3,1919,1.22000002861023
28,4,1919,20.0799999237061
29,5,1919,22.8299999237061
30,6,1919,72.9000015258789
31,7,1919,80.4700012207031
32,8,1919,55.6800003051758
33,9,1919,24.6200008392334
34,10,1919,8.98999977111816
35,11,1919,18.0599994659424
36,12,1919,13.6000003814697
37,1,1920,3.8199999332428
38,2,1920,3.49000000953674
39,3,1920,24.3299999237061
40,4,1920,13.960000038147
41,5,1920,50.2400016784668
42,6,1920,51.810001373290994
43,7,1920,38.9500007629395
44,8,1920,71.6800003051758
45,9,1920,20.5
46,10,1920,2.72000002861023
47,11,1920,10.0799999237061
48,12,1920,1.03999996185303
49,1,1921,5.07000017166138
50,2,1921,18.2800006866455
51,3,1921,27.690000534057607
52,4,1921,9.96000003814697
53,5,1921,181.179992675781
54,6,1921,53.7000007629395
55,7,1921,25.9599990844727
56,8,1921,31.6700000762939
57,9,1921,27.940000534057607
58,10,1921,14.25
59,11,1921,1.32000005245209
60,12,1921,12.220000267028801
61,1,1922,1.0
62,2,1922,16.2399997711182
63,3,1922,20.229999542236303
64,4,1922,18.9500007629395
65,5,1922,19.0499992370605
66,6,1922,23.0499992370605
67,7,1922,45.2400016784668
68,8,1922,23.9799995422363
69,9,1922,10.239999771118198
70,10,1922,2.11999988555908
71,11,1922,0.540000021457672
72,12,1922,1.76999998092651
73,1,1923,17.4300003051758
74,2,1923,7.67000007629395
75,3,1923,6.0
76,4,1923,39.680000305175795
77,5,1923,23.2700004577637
78,6,1923,136.63000488281202
79,7,1923,53.7599983215332
80,8,1923,17.8899993896484
81,9,1923,16.770000457763697
82,10,1923,3.8499999046325697
83,11,1923,1.14999997615814
84,12,1923,4.71000003814697
85,1,1924,0.7400000095367428
86,2,1924,6.55999994277954
87,3,1924,19.5499992370605
88,4,1924,2.77999997138977
89,5,1924,25.989999771118196
90,6,1924,55.8899993896484
91,7,1924,48.2599983215332
92,8,1924,35.709999084472706
93,9,1924,10.0299997329712
94,10,1924,20.0599994659424
95,11,1924,5.78999996185303
96,12,1924,2.29999995231628
97,1,1925,61.13000106811521
98,2,1925,23.350000381469695
99,3,1925,36.3499984741211
100,4,1925,1.24000000953674
101,5,1925,35.7599983215332
102,6,1925,69.8000030517578
103,7,1925,33.8699989318848
104,8,1925,17.9599990844727
105,9,1925,31.7999992370605
106,10,1925,8.0
107,11,1925,3.35999989509583
108,12,1925,22.0200004577637
109,1,1926,4.6100001335144
110,2,1926,11.789999961853
111,3,1926,49.3499984741211
112,4,1926,45.2299995422363
113,5,1926,52.3899993896484
