nobs,month,year,prec
1,1,1917,256.17999267578097
2,2,1917,203.029998779297
3,3,1917,471.149993896484
4,4,1917,161.5
5,5,1917,258.850006103516
6,6,1917,110.23000335693399
7,7,1917,126.98999786377001
8,8,1917,137.259994506836
9,9,1917,97.6500015258789
10,10,1917,170.570007324219
11,11,1917,180.679992675781
12,12,1917,262.470001220703
13,1,1918,168.350006103516
14,2,1918,239.75999450683602
15,3,1918,211.039993286133
16,4,1918,234.25999450683602
17,5,1918,131.86999511718798
18,6,1918,78.5999984741211
19,7,1918,85.0299987792969
20,8,1918,96.1500015258789
21,9,1918,90.58999633789058
22,10,1918,88.37999725341801
23,11,1918,137.490005493164
24,12,1918,190.13000488281202
25,1,1919,248.410003662109
26,2,1919,208.899993896484
27,3,1919,352.329986572266
28,4,1919,195.399993896484
29,5,1919,188.61999511718798
30,6,1919,86.75
31,7,1919,90.83999633789058
32,8,1919,95.4499969482422
33,9,1919,100.459999084473
34,10,1919,87.6800003051758
35,11,1919,84.8000030517578
36,12,1919,149.520004272461
37,1,1920,208.309997558594
38,2,1920,402.309997558594
39,3,1920,287.850006103516
40,4,1920,273.730010986328
41,5,1920,142.729995727539
42,6,1920,122.300003051758
43,7,1920,130.520004272461
44,8,1920,99.0500030517578
45,9,1920,90.62000274658199
46,10,1920,91.52999877929692
47,11,1920,111.040000915527
48,12,1920,250.74000549316398
49,1,1921,198.389999389648
50,2,1921,253.389999389648
51,3,1921,223.059997558594
52,4,1921,264.040008544922
53,5,1921,117.889999389648
54,6,1921,92.6399993896484
55,7,1921,106.459999084473
56,8,1921,96.3000030517578
57,9,1921,130.789993286133
58,10,1921,159.509994506836
59,11,1921,83.879997253418
60,12,1921,311.30999755859403
61,1,1922,268.959991455078
62,2,1922,167.110000610352
63,3,1922,303.75
64,4,1922,283.579986572266
65,5,1922,243.86999511718798
66,6,1922,96.51000213623051
67,7,1922,155.009994506836
68,8,1922,101.05999755859399
69,9,1922,90.3600006103516
70,10,1922,167.440002441406
71,11,1922,113.98000335693399
72,12,1922,241.36999511718798
73,1,1923,366.22000122070295
74,2,1923,282.359985351562
75,3,1923,581.070007324219
76,4,1923,230.539993286133
77,5,1923,277.609985351562
78,6,1923,95.33999633789058
79,7,1923,88.9300003051758
80,8,1923,100.319999694824
81,9,1923,90.3499984741211
82,10,1923,90.7300033569336
83,11,1923,85.0199966430664
84,12,1923,246.589996337891
85,1,1924,130.179992675781
86,2,1924,279.369995117188
87,3,1924,375.02999877929705
88,4,1924,268.779998779297
89,5,1924,181.059997558594
90,6,1924,137.600006103516
91,7,1924,93.98999786376949
92,8,1924,96.66000366210942
93,9,1924,115.37000274658199
94,10,1924,115.849998474121
95,11,1924,179.279998779297
96,12,1924,428.899993896484
97,1,1925,251.97999572753898
98,2,1925,269.80999755859403
99,3,1925,311.649993896484
100,4,1925,283.660003662109
101,5,1925,123.44000244140601
102,6,1925,110.930000305176
103,7,1925,84.8199996948242
104,8,1925,97.4199981689453
105,9,1925,99.6399993896484
106,10,1925,87.4000015258789
107,11,1925,89.75
108,12,1925,145.5
109,1,1926,172.789993286133
110,2,1926,331.25
111,3,1926,292.69000244140597
112,4,1926,227.399993896484
113,5,1926,129.850006103516
114,6,1926,84.3300018310547
115,7,1926,101.94000244140601
116,8,1926,115.30999755859399
117,9,1926,106.76999664306601
118,10,1926,123.790000915527
119,11,1926,90.72000122070308
120,12,1926,196.080001831055
121,1,1927,306.220001220703
122,2,1927,221.160003662109
123,3,1927,218.190002441406
124,4,1927,245.149993896484
125,5,1927,222.97999572753898
126,6,1927,139.199996948242
127,7,1927,244.830001831055
128,8,1927,207.789993286133
129,9,1927,76.4599990844727
130,10,1927,122.029998779297
131,11,1927,111.680000305176
132,12,1927,310.94000244140597
133,1,1928,215.639999389648
134,2,1928,208.309997558594
135,3,1928,250.830001831055
136,4,1928,231.050003051758
137,5,1928,242.0
138,6,1928,67.7099990844727
139,7,1928,68.90000152587889
140,8,1928,115.62000274658199
141,9,1928,97.97000122070308
142,10,1928,346.420013427734
143,11,1928,170.960006713867
144,12,1928,208.110000610352
145,1,1929,301.880004882812
146,2,1929,324.109985351562
147,3,1929,259.480010986328
148,4,1929,250.50999450683602
149,5,1929,118.62000274658199
150,6,1929,87.98999786376949
151,7,1929,141.589996337891
152,8,1929,90.51000213623051
153,9,1929,86.1500015258789
154,10,1929,153.570007324219
155,11,1929,145.149993896484
156,12,1929,433.320007324219
157,1,1930,224.820007324219
158,2,1930,265.70001220703097
159,3,1930,263.010009765625
160,4,1930,213.47999572753898
161,5,1930,251.850006103516
162,6,1930,83.9300003051758
163,7,1930,58.13000106811521
164,8,1930,150.88000488281202
165,9,1930,58.619998931884794
166,10,1930,99.12999725341801
167,11,1930,57.4500007629395
168,12,1930,304.720001220703
169,1,1931,278.040008544922
170,2,1931,237.949996948242
171,3,1931,267.339996337891
172,4,1931,345.049987792969
173,5,1931,168.919998168945
174,6,1931,67.870002746582
175,7,1931,84.1500015258789
176,8,1931,102.569999694824
177,9,1931,103.279998779297
178,10,1931,75.5400009155273
179,11,1931,143.929992675781
180,12,1931,228.809997558594
181,1,1932,203.02000427246102
182,2,1932,187.589996337891
183,3,1932,266.019989013672
184,4,1932,222.679992675781
185,5,1932,257.010009765625
186,6,1932,50.4000015258789
187,7,1932,71.5
188,8,1932,78.6699981689453
189,9,1932,75.9599990844727
190,10,1932,92.5999984741211
191,11,1932,92.26000213623051
192,12,1932,248.889999389648
193,1,1933,270.42999267578097
194,2,1933,238.25
195,3,1933,367.200012207031
196,4,1933,175.699996948242
197,5,1933,93.5
198,6,1933,100.08000183105499
199,7,1933,152.080001831055
200,8,1933,126.08999633789101
201,9,1933,155.72000122070298
202,10,1933,207.399993896484
203,11,1933,148.839996337891
204,12,1933,281.839996337891
205,1,1934,244.699996948242
206,2,1934,336.989990234375
207,3,1934,353.570007324219
208,4,1934,295.730010986328
209,5,1934,225.399993896484
210,6,1934,164.320007324219
211,7,1934,128.63000488281202
212,8,1934,80.2300033569336
213,9,1934,124.110000610352
214,10,1934,157.75
215,11,1934,180.860000610352
216,12,1934,123.26000213622999
217,1,1935,297.79998779296903
218,2,1935,175.00999450683602
219,3,1935,334.0
220,4,1935,174.940002441406
221,5,1935,121.389999389648
222,6,1935,101.58999633789101
223,7,1935,85.13999938964841
224,8,1935,82.0899963378906
225,9,1935,89.62999725341801
226,10,1935,138.0
227,11,1935,122.5
228,12,1935,116.349998474121
229,1,1936,483.739990234375
230,2,1936,359.850006103516
231,3,1936,268.420013427734
232,4,1936,128.669998168945
233,5,1936,374.160003662109
234,6,1936,232.039993286133
235,7,1936,176.75
236,8,1936,99.7699966430664
237,9,1936,261.140014648438
238,10,1936,68.51999664306639
239,11,1936,134.360000610352
240,12,1936,284.089996337891
241,1,1937,305.80999755859403
242,2,1937,233.779998779297
243,3,1937,273.350006103516
244,4,1937,387.95999145507795
245,5,1937,140.940002441406
246,6,1937,66.84999847412111
247,7,1937,153.410003662109
248,8,1937,75.2300033569336
249,9,1937,151.770004272461
250,10,1937,87.0999984741211
251,11,1937,97.66000366210942
252,12,1937,204.839996337891
253,1,1938,317.130004882812
254,2,1938,239.660003662109
255,3,1938,215.50999450683602
256,4,1938,257.640014648438
257,5,1938,214.660003662109
258,6,1938,166.320007324219
259,7,1938,131.759994506836
260,8,1938,138.580001831055
261,9,1938,90.0400009155273
262,10,1938,135.97000122070298
263,11,1938,223.25
264,12,1938,302.230010986328
265,1,1939,267.730010986328
266,2,1939,290.670013427734
267,3,1939,293.5
268,4,1939,301.32000732421903
269,5,1939,150.399993896484
270,6,1939,131.539993286133
271,7,1939,111.680000305176
272,8,1939,68.870002746582
273,9,1939,118.41999816894501
274,10,1939,87.80999755859379
275,11,1939,144.509994506836
276,12,1939,268.510009765625
277,1,1940,302.100006103516
278,2,1940,166.649993896484
279,3,1940,320.05999755859403
280,4,1940,361.239990234375
281,5,1940,302.350006103516
282,6,1940,103.76000213622999
283,7,1940,62.4900016784668
284,8,1940,73.0699996948242
285,9,1940,59.0099983215332
286,10,1940,54.2000007629395
287,11,1940,71.6600036621094
288,12,1940,79.6800003051758
289,1,1941,324.44000244140597
290,2,1941,380.760009765625
291,3,1941,340.529998779297
292,4,1941,279.209991455078
293,5,1941,202.669998168945
294,6,1941,44.4500007629395
295,7,1941,46.75
296,8,1941,45.529998779296896
297,9,1941,44.060001373290994
298,10,1941,42.6399993896484
299,11,1941,120.16999816894501
300,12,1941,221.300003051758
