Site,EVeP_MTSL,EVeP,FBeM_MTL_batch,ePL-KRLS,eTs_plus,eTS_KRLS,eTS-LS-SVM,ePL,eTS
0.0,2.753,9.56599476141,5.3352,1.96959344038,3.6973,3.0786,5.0,3.129,3.0
1.0,2.831,8.77736020954,5.9071,1.76585810272,3.2356,2.3434,5.0,3.0961,2.0
2.0,2.625,8.56200888281,2.3133,1.100558023,3.7151,2.3472,4.0,1.3881,4.0
3.0,2.14,7.59002391527,4.2694,1.59583190981,4.8998,2.8654,6.0,2.691,3.0
4.0,2.533,8.22673955130,5.1221,1.38104999431,4.9893,2.9574,6.0,2.402,4.0
5.0,2.072,6.864252363056,0.99989,1.57613028129,4.0543,3.5587,7.0,2.4728,3.0
6.0,2.056,6.007174581482,0.99989,1.92563489352,4.7244,3.9746,6.0,3.0157,5.0
7.0,2.233,6.445279580913,0.99989,1.54116843184,4.63,3.6405,7.0,3.2527,5.0
8.0,2.31,6.98496754355,3.6664,2.19428311126,6.3315,5.1022,7.0,3.89,5.0
9.0,2.187,6.57180275595,2.2937,2.17344266029,5.2106,3.9749,8.0,3.229,3.0
10.0,2.453,7.68557111946,2.2372,1.62225259082,4.1632,3.2453,6.0,2.5246,6.0
11.0,2.563,7.7403484796720,3.4744,2.24940211821,4.8923,3.7571,6.0,1.8004,4.0
12.0,2.392,8.25019929393,3.5442,1.92927912538,4.8414,4.2474,8.0,2.798,9.0
13.0,2.09,9.82815169115135,1.552,1.58171051133,3.7273,3.0589,6.0,1.2761,5.0
14.0,1.499,6.018221159321262,1.7274,2.06309076415,4.3879,3.9325,6.0,2.9762,4.0
