Site,FBeM_MTL_batch,FBeM_recursivo,FBeM_recursivo_mod,ePL-KRLS,eTs_plus,eTS_KRLS,eTS-LS-SVM,ePL,eTS
0.0,10.869,1.2613,2.2874,7.18572473526,100.1616,9.9328,7.758,9.2879,2.42
1.0,11.6247,1.3303,1.9273,7.60179781914,79.9789,7.6068,7.5388,9.316,2.42
2.0,7.6881,1.4571,2.1476,5.7481007576,91.2625,7.6789,6.8503,4.7991,2.42
3.0,10.1466,1.2488,1.8402,6.50087070465,122.2805,9.627,9.022,9.2776,2.42
4.0,10.4804,1.3762,1.9058,5.85456848145,134.094,9.5124,8.9954,8.9279,2.42
5.0,7.8217,1.8339,2.0802,6.24342560768,91.8839,11.7771,9.4311,9.1321,2.42
6.0,7.8261,1.8388,2.0171,7.02891349792,91.2965,12.922,8.876,9.467,2.42
7.0,7.9018,1.8429,1.9224,6.1550693512,106.635,11.989,9.5757,9.3644,2.42
8.0,8.7875,3.724,1.9696,7.45557785034,200.8401,16.8824,9.6987,9.8637,2.42
9.0,7.9161,1.4277,1.855,7.52843666077,112.6318,13.1744,10.0578,9.5504,2.42
10.0,8.1109,1.4942,1.8657,7.18648648262,104.1746,10.6873,8.2028,8.7539,2.42
11.0,8.9008,1.3533,1.7519,7.60335326195,127.9153,12.1113,8.2742,6.833,2.42
12.0,8.5464,1.2161,1.9229,7.03381752968,137.5916,13.5396,10.2075,9.0436,2.42
13.0,8.0116,1.7747,2.0787,6.28422355652,100.3871,9.94,7.5097,3.9717,2.42
14.0,7.8779,1.6045,2.1536,7.30086803436,98.4782,12.9595,8.6088,9.0159,2.42
